Word,Length of characters,Median duration,Frequency rank,Relative frequency
من,2,0.19,1,0.029743589743589743
في,2,0.1600000000000001,2,0.02293507910529187
أن,2,0.1899999999999999,3,0.022214948172394982
لا,2,0.2099999999999999,4,0.016824877250409164
إلى,3,0.2200000000000002,5,0.014708128750681943
هل,2,0.22,6,0.01309328968903437
ما,2,0.2,7,0.012285870158210584
على,3,0.2400000000000002,8,0.009972722313147844
هذا,3,0.33,9,0.008096017457719585
ذلك,3,0.5,10,0.007659574468085106
و,1,0.1099999999999998,11,0.007310420076377523
لم,2,0.2300000000000001,12,0.006786688488816148
هذه,3,0.3999999999999999,13,0.006503000545553737
أنا,3,0.2799999999999998,15,0.005237315875613748
كان,3,0.29,15,0.005237315875613748
هناك,4,0.455,16,0.004757228587015821
فضلك,4,0.5949999999999999,17,0.0045390070921985815
إنه,3,0.4,18,0.00447354064375341
كل,2,0.28,19,0.0044517184942716856
هو,2,0.2199999999999999,20,0.004386252045826514
عن,2,0.2099999999999999,21,0.004233496999454446
ليس,3,0.3299999999999999,22,0.003971631205673759
لك,2,0.27,23,0.0038625204582651393
لي,2,0.2199999999999999,24,0.0036442989634479
هنا,3,0.3850000000000001,25,0.003491543917075832
عليك,4,0.4599999999999999,26,0.003447899618112384
إنها,4,0.4599999999999999,28,0.0032733224222585926
ماذا,4,0.395,28,0.0032733224222585926
كنت,3,0.3099999999999999,31,0.003120567375886525
أنت,3,0.29,31,0.003120567375886525
أي,2,0.27,31,0.003120567375886525
أين,3,0.28,32,0.003055100927441353
اليوم,5,0.48,33,0.0028150572831423895
جدا,3,0.48,34,0.0027932351336606657
بعد,3,0.3199999999999998,35,0.0027714129841789415
متى,3,0.3349999999999999,36,0.0026623022367703217
إذا,3,0.27,38,0.002509547190398254
أحب,3,0.4,38,0.002509547190398254
كيف,3,0.3099999999999999,40,0.0023349699945444625
قبل,3,0.33,40,0.0023349699945444625
يا,2,0.2149999999999999,43,0.0023131478450627387
الذي,4,0.3599999999999999,43,0.0023131478450627387
هي,2,0.2399999999999999,43,0.0023131478450627387
الكثير,6,0.535,44,0.0022695035460992908
تلك,3,0.31,45,0.002073104200763775
يوم,3,0.3500000000000005,46,0.0020294599018003275
الإنجليزية,10,0.925,47,0.0019639934533551553
غدا,3,0.4200000000000001,48,0.0019203491543917075
أريد,4,0.3800000000000001,50,0.0018985270049099836
الكتاب,6,0.5699999999999998,50,0.0018985270049099836
أبي,3,0.33,51,0.0018767048554282598
البيت,5,0.5,52,0.0018548827059465358
السيارة,7,0.75,55,0.0018112384069830878
البارحة,7,0.7899999999999998,55,0.0018112384069830878
أعرف,4,0.47,55,0.0018112384069830878
المدرسة,7,0.67,57,0.0017894162575013638
لقد,3,0.3299999999999999,57,0.0017894162575013638
أمي,3,0.4100000000000001,58,0.001745771958537916
مع,2,0.2399999999999997,60,0.001702127659574468
المنزل,6,0.5999999999999999,60,0.001702127659574468
يمكنك,5,0.56,63,0.00165848336061102
أحد,3,0.385,63,0.00165848336061102
أنه,3,0.395,63,0.00165848336061102
لدي,3,0.4299999999999999,65,0.0016366612111292963
كم,2,0.2099999999999999,65,0.0016366612111292963
توم,3,0.3699999999999999,67,0.0016148390616475723
لن,2,0.23,67,0.0016148390616475723
كانت,4,0.4199999999999999,69,0.0015930169121658483
علي,3,0.41,69,0.0015930169121658483
واحد,4,0.62,70,0.0015275504637206766
ذاك,3,0.395,71,0.0014839061647572286
الساعة,6,0.5099999999999998,72,0.0014620840152755046
أخرى,4,0.47,75,0.0013966175668303328
ذهبت,4,0.4649999999999999,75,0.0013966175668303328
إن,2,0.2200000000000001,75,0.0013966175668303328
بعض,3,0.31,76,0.0013747954173486089
