Word,Length of characters,Frequency rank,Relative frequency
و,1,1,0.03900884566782045
في,2,2,0.03582220757101258
من,2,3,0.029888467666611726
ب,1,4,0.029448931377396848
ل,1,5,0.024284379979122025
ه,1,6,0.016977089170924674
أن,2,7,0.016098016592494917
ها,2,8,0.015109059941761442
على,3,9,0.011702653700346136
إلى,3,10,0.010878523158068238
عام,3,11,0.007087522663589913
كان,3,12,0.006208450085160156
التي,4,13,0.005494203615185979
هم,2,14,0.005384319542882259
ما,2,15,0.004725015109059942
مع,2,16,0.004670073072908082
عن,2,17,0.004175594747541344
خلال,4,18,0.004010768639085765
ذلك,3,19,0.0039008845667820448
هذا,3,20,0.0037910004944783256
كانت,4,21,0.003681116422174606
لكن,3,23,0.0035712323498708863
الذي,4,23,0.0035712323498708863
بعد,3,25,0.003406406241415307
س,1,25,0.003406406241415307
لا,2,26,0.003351464205263447
لم,2,27,0.0031316960606560078
بين,3,28,0.0029668699522004283
ك,1,29,0.002911927916048569
قد,2,31,0.002856985879896709
قبل,3,31,0.002856985879896709
غير,3,32,0.0025273336629855502
كل,2,33,0.0024723916268336904
هذه,3,34,0.0024174495906818306
يمكن,4,35,0.002362507554529971
أكثر,4,37,0.0021427394099225315
أيضاً,5,37,0.0021427394099225315
هو,2,39,0.0020328553376188123
إن,2,39,0.0020328553376188123
أو,2,40,0.0019229712653150925
نا,2,41,0.001813087193011373
يكون,4,42,0.0017032031207076534
هناك,4,46,0.0016482610845557936
ف,1,46,0.0016482610845557936
الأول,5,46,0.0016482610845557936
مثل,3,46,0.0016482610845557936
عندما,5,47,0.0015933190484039338
حتى,3,50,0.0014834349761002142
شكلٍ,4,50,0.0014834349761002142
حيث,3,50,0.0014834349761002142
الخاصة,6,52,0.0014284929399483546
علي,3,52,0.0014284929399483546
هي,2,53,0.0013735509037964948
الوقت,5,55,0.001318608867644635
الذين,5,55,0.001318608867644635
اسم,3,57,0.0012087247953409153
نحو,3,57,0.0012087247953409153
كما,3,61,0.0011537827591890555
أحد,3,61,0.0011537827591890555
العديد,6,61,0.0011537827591890555
قال,3,61,0.0011537827591890555
المتحدة,7,66,0.0010988407230371957
ذات,3,66,0.0010988407230371957
كبيرة,5,66,0.0010988407230371957
القرن,5,66,0.0010988407230371957
آخر,3,66,0.0010988407230371957
يوم,3,70,0.001043898686885336
الأمر,5,70,0.001043898686885336
البحر,5,70,0.001043898686885336
هما,3,70,0.001043898686885336
بعض,3,71,0.0009889566507334763
إذا,3,79,0.0009340146145816164
عند,3,79,0.0009340146145816164
لدي,3,79,0.0009340146145816164
الحرب,5,79,0.0009340146145816164
تشرين,5,79,0.0009340146145816164
أجل,3,79,0.0009340146145816164
الثاني,6,79,0.0009340146145816164
تكون,4,79,0.0009340146145816164
شركة,4,85,0.0008790725784297566
النسبة,6,85,0.0008790725784297566
العالم,6,85,0.0008790725784297566
العام,5,85,0.0008790725784297566
سبب,3,85,0.0008790725784297566
شأن,3,85,0.0008790725784297566
أي,2,95,0.0008241305422778968
الكثير,6,95,0.0008241305422778968
منطقة,5,95,0.0008241305422778968
تلك,3,95,0.0008241305422778968
الصين,5,95,0.0008241305422778968
الأولى,6,95,0.0008241305422778968
وضع,3,95,0.0008241305422778968
فقط,3,95,0.0008241305422778968
منذ,3,95,0.0008241305422778968
دون,3,95,0.0008241305422778968
نهاية,5,101,0.000769188506126037
سي,2,101,0.000769188506126037
عمل,3,101,0.000769188506126037
المنطقة,7,101,0.000769188506126037
أول,3,101,0.000769188506126037
إحدى,4,101,0.000769188506126037
عدة,3,109,0.0007142464699741773
المدينة,7,109,0.0007142464699741773
كانوا,5,109,0.0007142464699741773
يكن,3,109,0.0007142464699741773
ي,1,109,0.0007142464699741773
أخرى,4,109,0.0007142464699741773
جنوب,4,109,0.0007142464699741773
تم,2,109,0.0007142464699741773
أكبر,4,121,0.0006593044338223175
الجديدة,7,121,0.0006593044338223175
جداً,4,121,0.0006593044338223175
فترة,4,121,0.0006593044338223175
حول,3,121,0.0006593044338223175
عشر,3,121,0.0006593044338223175
العمل,5,121,0.0006593044338223175
استخدام,7,121,0.0006593044338223175
نفس,3,121,0.0006593044338223175
كبير,4,121,0.0006593044338223175
شكل,3,121,0.0006593044338223175
بي,2,121,0.0006593044338223175
إسترليني,8,141,0.0006043623976704577
حلول,4,141,0.0006043623976704577
ترامب,5,141,0.0006043623976704577
تقريباً,7,141,0.0006043623976704577
تحت,3,141,0.0006043623976704577
جديدة,5,141,0.0006043623976704577
جنيه,4,141,0.0006043623976704577
مرة,3,141,0.0006043623976704577
الآن,4,141,0.0006043623976704577
الجزء,5,141,0.0006043623976704577
كانون,5,141,0.0006043623976704577
الدول,5,141,0.0006043623976704577
مدينة,5,141,0.0006043623976704577
بدأت,4,141,0.0006043623976704577
البريطانية,10,141,0.0006043623976704577
الناس,5,141,0.0006043623976704577
مجلس,4,141,0.0006043623976704577
أفضل,4,141,0.0006043623976704577
م,1,141,0.0006043623976704577
قالت,4,141,0.0006043623976704577
المتوسط,7,151,0.0005494203615185978
كبيراً,6,151,0.0005494203615185978
ليس,3,151,0.0005494203615185978
فيلم,4,151,0.0005494203615185978
الولايات,8,151,0.0005494203615185978
الثالث,6,151,0.0005494203615185978
بدأ,3,151,0.0005494203615185978
ضد,2,151,0.0005494203615185978
يقول,4,151,0.0005494203615185978
الحكومة,7,151,0.0005494203615185978
دولار,5,166,0.0004944783253667381
الإنترنت,8,166,0.0004944783253667381
نظام,4,166,0.0004944783253667381
عبر,3,166,0.0004944783253667381
الأمريكية,9,166,0.0004944783253667381
رئيس,4,166,0.0004944783253667381
الأراضي,7,166,0.0004944783253667381
عادةً,5,166,0.0004944783253667381
الجيش,5,166,0.0004944783253667381
الرغم,5,166,0.0004944783253667381
وجود,4,166,0.0004944783253667381
نيسان,5,166,0.0004944783253667381
التالي,6,166,0.0004944783253667381
بات,3,166,0.0004944783253667381
الشمالية,8,166,0.0004944783253667381
عاماً,5,206,0.0004395362892148783
زيادة,5,206,0.0004395362892148783
الكبير,6,206,0.0004395362892148783
وقتٍ,4,206,0.0004395362892148783
سلالة,5,206,0.0004395362892148783
الاتحاد,7,206,0.0004395362892148783
الخاص,5,206,0.0004395362892148783
مليون,5,206,0.0004395362892148783
منع,3,206,0.0004395362892148783
الوطني,6,206,0.0004395362892148783
تقول,4,206,0.0004395362892148783
دي,2,206,0.0004395362892148783
وسع,3,206,0.0004395362892148783
الفعل,5,206,0.0004395362892148783
أمام,4,206,0.0004395362892148783
فيما,4,206,0.0004395362892148783
حماية,5,206,0.0004395362892148783
العظمى,6,206,0.0004395362892148783
حكم,3,206,0.0004395362892148783
أصبح,4,206,0.0004395362892148783
الأرض,5,206,0.0004395362892148783
المطاف,6,206,0.0004395362892148783
ثلاث,4,206,0.0004395362892148783
سنوات,5,206,0.0004395362892148783
مما,3,206,0.0004395362892148783
إنتاج,5,206,0.0004395362892148783
