Word,Length of characters,Median duration,Frequency rank,Relative frequency
eta,3,0.22,1,0.028209600695088752
da,2,0.1899999999999999,2,0.02318636193952466
ez,2,0.1699999999999999,3,0.016503991739271858
ere,3,0.2400000000000002,4,0.009336980511754729
du,2,0.1800000000000001,5,0.009066280118147623
dira,4,0.29,7,0.009000788087436228
bat,3,0.2100000000000002,7,0.009000788087436228
izan,4,0.2999999999999998,8,0.008666778730808107
zen,3,0.29,9,0.008328403238799225
egin,4,0.25,10,0.006101674194611753
zuen,4,0.3499999999999996,11,0.0056475961150127384
behar,5,0.2299999999999998,12,0.004929366844877759
dute,4,0.3199999999999998,13,0.004743806091195469
baina,5,0.3100000000000004,14,0.004728524617362811
hori,4,0.2500000000000001,15,0.004313741756190634
dugu,4,0.31,16,0.003975366264181754
dago,4,0.3299999999999998,17,0.0038356499319974415
bere,4,0.25,18,0.003715581209026548
beste,5,0.3199999999999998,19,0.00368938439674199
egiten,6,0.3699999999999999,20,0.0034667114923232424
nahi,4,0.1899999999999999,21,0.0032898830094024727
bi,2,0.1800000000000001,22,0.0032134756402391767
dut,3,0.2400000000000002,23,0.0029209445697282736
ditu,4,0.33,24,0.0028903816220629554
gure,4,0.26,25,0.002792143575995861
ziren,5,0.3900000000000001,26,0.002737566883736364
zuten,5,0.4100000000000001,27,0.0026764409884057275
oso,3,0.27,28,0.00263277963459813
edo,3,0.2199999999999997,29,0.002558555333125214
den,3,0.1999999999999997,30,0.002403557527108243
izango,6,0.3700000000000001,31,0.002370811511752545
zer,3,0.26,32,0.002348980834848746
baino,5,0.2899999999999996,33,0.002333699361016087
ari,3,0.1999999999999997,34,0.0021830676903798756
euskal,6,0.3700000000000001,35,0.0021677862165472165
asko,4,0.29,36,0.0021372232688818982
hau,3,0.2099999999999999,37,0.002091378847383921
zituen,6,0.48,38,0.002006239207459106
esan,4,0.2899999999999998,39,0.0019865915982456867
batzuk,6,0.3800000000000003,40,0.0019407471767477094
duzu,4,0.33,41,0.00192764877060543
dituzte,7,0.5100000000000002,42,0.001894902755249732
gara,4,0.29,43,0.001877438213726693
dela,4,0.2599999999999998,44,0.0018556075368228943
mila,4,0.29,45,0.0018315937922287156
beharko,7,0.33,46,0.0017486372199942803
hainbat,7,0.3800000000000002,47,0.0017464541523039005
nire,4,0.26,48,0.0017333557461616212
eman,4,0.25,49,0.001700609730805923
batean,6,0.4300000000000001,51,0.0016896943923540237
nuen,4,0.2999999999999998,51,0.0016896943923540237
egun,4,0.32,52,0.0016787790539021243
horiek,6,0.4199999999999999,53,0.0016722298508309848
lehen,5,0.2999999999999998,54,0.0016045547524292086
azken,5,0.3700000000000001,55,0.0015652595340023708
duen,4,0.25,56,0.001547794992479332
gero,4,0.3499999999999998,57,0.001545611924788952
hasi,4,0.2599999999999998,58,0.0015412457894081921
ditugu,6,0.44,59,0.0014495569464122375
egiteko,7,0.48,60,0.00140589559260464
ezin,4,0.31,61,0.0013971633218431204
daude,5,0.3700000000000001,62,0.001368783441868182
gaur,4,0.2999999999999999,63,0.0013578681034162826
hiru,4,0.25,64,0.001351318900345143
gehiago,7,0.3999999999999999,65,0.0013316712911317242
zituzten,8,0.5899999999999999,66,0.0012967422080856462
hizkuntza,9,0.5099999999999998,68,0.0012901930050145064
nola,4,0.2899999999999999,68,0.0012901930050145064
bizi,4,0.2800000000000002,69,0.0012880099373241266
bai,3,0.2800000000000002,70,0.0012727284634914675
sortu,5,0.3600000000000001,71,0.001263996192729948
herri,5,0.27,72,0.0012508977865876686
ondo,4,0.25,73,0.0012487147188972889
horretan,8,0.4599999999999999,75,0.0012421655158261493
horrek,6,0.3600000000000001,75,0.0012421655158261493
lan,3,0.2299999999999999,76,0.0012356163127550095
hartu,5,0.28,77,0.0012312501773742498
dena,4,0.3099999999999996,78,0.00122906710968387
ematen,6,0.3799999999999999,80,0.0012247009743031102
honetan,7,0.4600000000000004,80,0.0012247009743031102
baten,5,0.33,81,0.0012050533650896913
bertan,6,0.4200000000000008,82,0.0012006872297089315
urte,4,0.28,83,0.0011854057558762724
zein,4,0.29,84,0.001174490417424373
zure,4,0.2999999999999999,85,0.0011657581466628535
gabe,4,0.3099999999999998,86,0.001139561334378295
orain,5,0.3499999999999998,87,0.0011351951989975353
dio,3,0.27,88,0.0011133645220937367
batek,5,0.38,89,0.0011111814544033567
diren,5,0.29,90,0.0011002661159514573
handia,6,0.3599999999999999,91,0.0010915338451899378
naiz,4,0.3200000000000002,92,0.0010609708975246196
uste,4,0.29,93,0.0010500555590727202
hala,4,0.2699999999999999,94,0.0010151264760266422
egingo,6,0.3399999999999998,95,0.0010107603406458825
guztiak,7,0.5399999999999996,96,0.0010085772729555025
utzi,4,0.27,97,0.000982380460670944
ditut,5,0.4000000000000001,98,0.0009801973929805642
bezala,6,0.4499999999999999,99,0.0009758312575998044
egon,4,0.2599999999999998,100,0.0009605497837671453
horren,6,0.3099999999999999,101,0.0009583667160767654
nik,3,0.27,102,0.0009387191068633465
izena,5,0.39,103,0.0009365360391729666
alde,4,0.25,104,0.0009234376330306874
omen,4,0.245,105,0.0009212545653403075
artean,6,0.4699999999999997,106,0.0009147053622691679
hauek,5,0.3400000000000001,107,0.0009103392268884082
ikusi,5,0.38,108,0.0008994238884365087
hemen,5,0.32,109,0.0008972408207461288
joan,4,0.25,111,0.0008928746853653692
daiteke,7,0.5,111,0.0008928746853653692
beti,4,0.3200000000000002,112,0.0008906916176749893
genuen,6,0.4199999999999999,113,0.00087759321153271
erabiltzen,10,0.5250000000000001,114,0.0008732270761519503
sistema,7,0.4900000000000002,115,0.0008644948053904307
izaten,6,0.4100000000000001,117,0.0008623117377000508
duten,5,0.33,117,0.0008623117377000508
