Word,Length of characters,Frequency rank,Relative frequency
de,2,1,0.08211895381402193
el,2,2,0.052309298903498364
la,2,3,0.037736744671761524
en,2,4,0.03280011392224807
a,1,5,0.026154649451749182
que,3,6,0.023401528456828215
y,1,7,0.02202496795936773
los,3,8,0.019556652584611003
se,2,9,0.014525086628376134
del,3,10,0.012721317700669293
un,2,11,0.012294109270422937
las,3,12,0.01096501637632316
una,3,13,0.008971377035173493
por,3,14,0.008639103811648549
su,2,15,0.008211895381402193
con,3,16,0.007927089761237955
para,4,17,0.00683533488394171
como,4,18,0.006597996867138178
al,2,19,0.006265723643613234
es,2,20,0.0059334504200882895
no,2,21,0.005885982816727584
más,3,22,0.004699292732709926
lo,2,23,0.004177149095742156
fue,3,24,0.0034651350453315613
pero,4,25,0.002990459011724498
también,7,26,0.0027531209949209663
ha,2,27,0.0026107181848388475
sus,3,28,0.0024683153747567287
entre,5,29,0.0023733801680353157
años,4,30,0.002230977357953197
sobre,5,32,0.002041106944510372
durante,7,32,0.002041106944510372
está,4,33,0.0019936393411496655
había,5,34,0.001946171737788959
dos,3,36,0.0018512365310675463
sin,3,36,0.0018512365310675463
le,2,37,0.00180376892770684
este,4,38,0.0017563013243461338
era,3,40,0.0017088337209854275
o,1,40,0.0017088337209854275
cuando,6,41,0.0015664309109033085
gran,4,42,0.0015189633075426022
desde,5,44,0.001471495704181896
año,3,44,0.001471495704181896
esta,4,45,0.0014240281008211894
lugar,5,48,0.0012816252907390706
guerra,6,48,0.0012816252907390706
parte,5,48,0.0012816252907390706
son,3,52,0.0012341576873783643
si,2,52,0.0012341576873783643
ya,2,52,0.0012341576873783643
dijo,4,52,0.0012341576873783643
hasta,5,56,0.0011866900840176579
puede,5,56,0.0011866900840176579
después,7,56,0.0011866900840176579
estado,6,56,0.0011866900840176579
ser,3,57,0.0011392224806569516
tiene,5,60,0.0010917548772962453
muy,3,60,0.0010917548772962453
gobierno,8,60,0.0010917548772962453
tanto,5,61,0.001044287273935539
cada,4,67,0.0009968196705748328
esto,4,67,0.0009968196705748328
mar,3,67,0.0009968196705748328
tras,4,67,0.0009968196705748328
fueron,6,67,0.0009968196705748328
ciudad,6,67,0.0009968196705748328
millones,8,71,0.0009493520672141264
todo,4,71,0.0009493520672141264
vez,3,71,0.0009493520672141264
estaba,6,71,0.0009493520672141264
primera,7,77,0.00090188446385342
embargo,7,77,0.00090188446385342
mientras,8,77,0.00090188446385342
han,3,77,0.00090188446385342
antes,5,77,0.00090188446385342
día,3,77,0.00090188446385342
siglo,5,83,0.0008544168604927137
uno,3,83,0.0008544168604927137
mundo,5,83,0.0008544168604927137
norte,5,83,0.0008544168604927137
muchos,6,83,0.0008544168604927137
solo,4,83,0.0008544168604927137
hacia,5,86,0.0008069492571320074
personas,8,86,0.0008069492571320074
donde,5,86,0.0008069492571320074
momento,7,93,0.0007594816537713011
tiempo,6,93,0.0007594816537713011
poco,4,93,0.0007594816537713011
sur,3,93,0.0007594816537713011
mayor,5,93,0.0007594816537713011
china,5,93,0.0007594816537713011
contra,6,93,0.0007594816537713011
hacer,5,99,0.0007120140504105947
otros,5,99,0.0007120140504105947
nueva,5,99,0.0007120140504105947
están,5,99,0.0007120140504105947
hay,3,99,0.0007120140504105947
menos,5,99,0.0007120140504105947
me,2,108,0.0006645464470498884
tres,4,108,0.0006645464470498884
habían,6,108,0.0006645464470498884
región,6,108,0.0006645464470498884
muchas,6,108,0.0006645464470498884
cual,4,108,0.0006645464470498884
ese,3,108,0.0006645464470498884
e,1,108,0.0006645464470498884
historia,8,108,0.0006645464470498884
hace,4,116,0.0006170788436891822
mismo,5,116,0.0006170788436891822
ellos,5,116,0.0006170788436891822
mayoría,7,116,0.0006170788436891822
eso,3,116,0.0006170788436891822
vida,4,116,0.0006170788436891822
nacional,8,116,0.0006170788436891822
tener,5,116,0.0006170788436891822
ahora,5,129,0.0005696112403284758
tierra,6,129,0.0005696112403284758
público,7,129,0.0005696112403284758
tienen,6,129,0.0005696112403284758
podría,6,129,0.0005696112403284758
grandes,7,129,0.0005696112403284758
ejército,8,129,0.0005696112403284758
luego,5,129,0.0005696112403284758
presidente,10,129,0.0005696112403284758
sistema,7,129,0.0005696112403284758
estados,7,129,0.0005696112403284758
trabajo,7,129,0.0005696112403284758
él,2,129,0.0005696112403284758
todos,5,149,0.0005221436369677695
hecho,5,149,0.0005221436369677695
estos,5,149,0.0005221436369677695
primer,6,149,0.0005221436369677695
trump,5,149,0.0005221436369677695
poder,5,149,0.0005221436369677695
acuerdo,7,149,0.0005221436369677695
les,3,149,0.0005221436369677695
partido,7,149,0.0005221436369677695
sido,4,149,0.0005221436369677695
según,5,149,0.0005221436369677695
octubre,7,149,0.0005221436369677695
últimos,7,149,0.0005221436369677695
través,6,149,0.0005221436369677695
crecimiento,11,149,0.0005221436369677695
veces,5,149,0.0005221436369677695
además,6,149,0.0005221436369677695
todas,5,149,0.0005221436369677695
estaban,7,149,0.0005221436369677695
acceso,6,149,0.0005221436369677695
bajo,4,166,0.0004746760336070632
ver,3,166,0.0004746760336070632
nuevos,6,166,0.0004746760336070632
general,7,166,0.0004746760336070632
unos,4,166,0.0004746760336070632
tan,3,166,0.0004746760336070632
mediterráneo,12,166,0.0004746760336070632
población,9,166,0.0004746760336070632
estudio,7,166,0.0004746760336070632
ciudades,8,166,0.0004746760336070632
manera,6,166,0.0004746760336070632
cuenta,6,166,0.0004746760336070632
debido,6,166,0.0004746760336070632
gente,5,166,0.0004746760336070632
varios,6,166,0.0004746760336070632
pueden,6,166,0.0004746760336070632
británica,9,166,0.0004746760336070632
resultado,9,195,0.00042720843024635687
edad,4,195,0.00042720843024635687
dice,4,195,0.00042720843024635687
ambos,5,195,0.00042720843024635687
cuales,6,195,0.00042720843024635687
agua,4,195,0.00042720843024635687
datos,5,195,0.00042720843024635687
inversores,10,195,0.00042720843024635687
unidos,6,195,0.00042720843024635687
elecciones,10,195,0.00042720843024635687
número,6,195,0.00042720843024635687
esos,4,195,0.00042720843024635687
meses,5,195,0.00042720843024635687
otra,4,195,0.00042720843024635687
mejor,5,195,0.00042720843024635687
eran,4,195,0.00042720843024635687
todavía,7,195,0.00042720843024635687
mucho,5,195,0.00042720843024635687
imperio,7,195,0.00042720843024635687
desarrollo,10,195,0.00042720843024635687
cuatro,6,195,0.00042720843024635687
reino,5,195,0.00042720843024635687
casi,4,195,0.00042720843024635687
cambio,6,195,0.00042720843024635687
ella,4,195,0.00042720843024635687
policía,7,195,0.00042720843024635687
nombre,6,195,0.00042720843024635687
otro,4,195,0.00042720843024635687
éxito,5,195,0.00042720843024635687
películas,9,235,0.00037974082688565055
varias,6,235,0.00037974082688565055
algunos,7,235,0.00037974082688565055
tenía,5,235,0.00037974082688565055
nos,3,235,0.00037974082688565055
declaró,7,235,0.00037974082688565055
quien,5,235,0.00037974082688565055
tierras,7,235,0.00037974082688565055
europa,6,235,0.00037974082688565055
nivel,5,235,0.00037974082688565055
libras,6,235,0.00037974082688565055
mediante,8,235,0.00037974082688565055
empresas,8,235,0.00037974082688565055
convirtió,9,235,0.00037974082688565055
miembros,8,235,0.00037974082688565055
emperador,9,235,0.00037974082688565055
aire,4,235,0.00037974082688565055
mercado,7,235,0.00037974082688565055
tuvo,4,235,0.00037974082688565055
media,5,235,0.00037974082688565055
establecer,10,235,0.00037974082688565055
periodo,7,235,0.00037974082688565055
segunda,7,235,0.00037974082688565055
afirmó,6,235,0.00037974082688565055
partes,6,235,0.00037974082688565055
bien,4,235,0.00037974082688565055
así,3,235,0.00037974082688565055
abril,5,235,0.00037974082688565055
sea,3,235,0.00037974082688565055
nuevo,5,235,0.00037974082688565055
países,6,235,0.00037974082688565055
película,8,235,0.00037974082688565055
algo,4,235,0.00037974082688565055
tratado,7,235,0.00037974082688565055
país,4,235,0.00037974082688565055
empezó,6,235,0.00037974082688565055
área,4,235,0.00037974082688565055
aunque,6,235,0.00037974082688565055
batalla,7,235,0.00037974082688565055
largo,5,235,0.00037974082688565055
conflicto,9,281,0.0003322732235249442
italia,6,281,0.0003322732235249442
seis,4,281,0.0003322732235249442
derecho,7,281,0.0003322732235249442
zona,4,281,0.0003322732235249442
entonces,8,281,0.0003322732235249442
sólo,4,281,0.0003322732235249442
siempre,7,281,0.0003322732235249442
alguien,7,281,0.0003322732235249442
mujer,5,281,0.0003322732235249442
persona,7,281,0.0003322732235249442
ministro,8,281,0.0003322732235249442
medio,5,281,0.0003322732235249442
república,9,281,0.0003322732235249442
unas,4,281,0.0003322732235249442
dólares,7,281,0.0003322732235249442
línea,5,281,0.0003322732235249442
verano,6,281,0.0003322732235249442
kong,4,281,0.0003322732235249442
campo,5,281,0.0003322732235249442
rey,3,281,0.0003322732235249442
unido,5,281,0.0003322732235249442
isla,4,281,0.0003322732235249442
hong,4,281,0.0003322732235249442
cabo,4,281,0.0003322732235249442
enero,5,281,0.0003322732235249442
euros,5,281,0.0003322732235249442
iii,3,281,0.0003322732235249442
dinero,6,281,0.0003322732235249442
días,4,281,0.0003322732235249442
alrededor,9,281,0.0003322732235249442
espera,6,281,0.0003322732235249442
tarde,5,281,0.0003322732235249442
estas,5,281,0.0003322732235249442
ayuda,5,281,0.0003322732235249442
invierno,8,281,0.0003322732235249442
porque,6,281,0.0003322732235249442
igual,5,281,0.0003322732235249442
mil,3,281,0.0003322732235249442
director,8,281,0.0003322732235249442
cerca,5,281,0.0003322732235249442
punto,5,281,0.0003322732235249442
objetivo,8,281,0.0003322732235249442
roma,4,281,0.0003322732235249442
siguiente,9,281,0.0003322732235249442
escuela,7,281,0.0003322732235249442
tipo,4,354,0.0002848056201642379
tema,4,354,0.0002848056201642379
pekín,5,354,0.0002848056201642379
clinton,7,354,0.0002848056201642379
normalmente,11,354,0.0002848056201642379
completamente,13,354,0.0002848056201642379
eua,3,354,0.0002848056201642379
haber,5,354,0.0002848056201642379
primeros,8,354,0.0002848056201642379
comenzó,7,354,0.0002848056201642379
acciones,8,354,0.0002848056201642379
llegaron,8,354,0.0002848056201642379
claro,5,354,0.0002848056201642379
último,6,354,0.0002848056201642379
revolución,10,354,0.0002848056201642379
otras,5,354,0.0002848056201642379
dinastía,8,354,0.0002848056201642379
español,7,354,0.0002848056201642379
mes,3,354,0.0002848056201642379
problemas,9,354,0.0002848056201642379
fuerza,6,354,0.0002848056201642379
albania,7,354,0.0002848056201642379
siendo,6,354,0.0002848056201642379
australia,9,354,0.0002848056201642379
investigación,13,354,0.0002848056201642379
tenido,6,354,0.0002848056201642379
tenían,6,354,0.0002848056201642379
diferentes,10,354,0.0002848056201642379
toda,4,354,0.0002848056201642379
hizo,4,354,0.0002848056201642379
periódico,9,354,0.0002848056201642379
hora,4,354,0.0002848056201642379
uso,3,354,0.0002848056201642379
pasado,6,354,0.0002848056201642379
semana,6,354,0.0002848056201642379
empresa,7,354,0.0002848056201642379
mundial,7,354,0.0002848056201642379
yo,2,354,0.0002848056201642379
oficiales,9,354,0.0002848056201642379
incluyen,8,354,0.0002848056201642379
televisión,10,354,0.0002848056201642379
océano,6,354,0.0002848056201642379
será,4,354,0.0002848056201642379
real,4,354,0.0002848056201642379
universidad,11,354,0.0002848056201642379
acerca,6,354,0.0002848056201642379
posible,7,354,0.0002848056201642379
incluso,7,354,0.0002848056201642379
islas,5,354,0.0002848056201642379
modo,4,354,0.0002848056201642379
programa,8,354,0.0002848056201642379
río,3,354,0.0002848056201642379
pesar,5,354,0.0002848056201642379
nuevas,6,354,0.0002848056201642379
junio,5,354,0.0002848056201642379
niños,5,354,0.0002848056201642379
mercados,8,354,0.0002848056201642379
c,1,354,0.0002848056201642379
algunas,7,354,0.0002848056201642379
frente,6,354,0.0002848056201642379
tuvieron,8,354,0.0002848056201642379
energía,7,354,0.0002848056201642379
hombre,6,354,0.0002848056201642379
puesto,6,354,0.0002848056201642379
esa,3,354,0.0002848056201642379
principal,9,354,0.0002848056201642379
salud,5,354,0.0002848056201642379
san,3,354,0.0002848056201642379
clima,5,354,0.0002848056201642379
comercio,8,354,0.0002848056201642379
estudiantes,11,354,0.0002848056201642379
escrito,7,354,0.0002848056201642379
francia,7,354,0.0002848056201642379
cantidad,8,460,0.0002373380168035316
plantas,7,460,0.0002373380168035316
involucrados,12,460,0.0002373380168035316
llegó,5,460,0.0002373380168035316
superficie,10,460,0.0002373380168035316
obligaciones,12,460,0.0002373380168035316
hermano,7,460,0.0002373380168035316
carrera,7,460,0.0002373380168035316
americana,9,460,0.0002373380168035316
transición,10,460,0.0002373380168035316
asistente,9,460,0.0002373380168035316
alto,4,460,0.0002373380168035316
septiembre,10,460,0.0002373380168035316
importantes,11,460,0.0002373380168035316
fácil,5,460,0.0002373380168035316
límites,7,460,0.0002373380168035316
julio,5,460,0.0002373380168035316
estar,5,460,0.0002373380168035316
estadounidense,14,460,0.0002373380168035316
juegos,6,460,0.0002373380168035316
contrato,8,460,0.0002373380168035316
dado,4,460,0.0002373380168035316
podía,5,460,0.0002373380168035316
tasa,4,460,0.0002373380168035316
parece,6,460,0.0002373380168035316
i,1,460,0.0002373380168035316
casa,4,460,0.0002373380168035316
alta,4,460,0.0002373380168035316
posibilidad,11,460,0.0002373380168035316
propia,6,460,0.0002373380168035316
moravia,7,460,0.0002373380168035316
cualquier,9,460,0.0002373380168035316
protección,10,460,0.0002373380168035316
bretaña,7,460,0.0002373380168035316
final,5,460,0.0002373380168035316
tumor,5,460,0.0002373380168035316
españa,6,460,0.0002373380168035316
alemania,8,460,0.0002373380168035316
serie,5,460,0.0002373380168035316
distrito,8,460,0.0002373380168035316
ayudar,6,460,0.0002373380168035316
trabajó,7,460,0.0002373380168035316
grecia,6,460,0.0002373380168035316
mejores,7,460,0.0002373380168035316
teléfonos,9,460,0.0002373380168035316
incluyendo,10,460,0.0002373380168035316
rusia,5,460,0.0002373380168035316
última,6,460,0.0002373380168035316
europeos,8,460,0.0002373380168035316
dejado,6,460,0.0002373380168035316
noticias,8,460,0.0002373380168035316
the,3,460,0.0002373380168035316
polonio,7,460,0.0002373380168035316
período,7,460,0.0002373380168035316
muerte,6,460,0.0002373380168035316
consejo,7,460,0.0002373380168035316
voto,4,460,0.0002373380168035316
parque,6,460,0.0002373380168035316
compañía,8,460,0.0002373380168035316
efectos,7,460,0.0002373380168035316
donald,6,460,0.0002373380168035316
nuestro,7,460,0.0002373380168035316
internet,8,460,0.0002373380168035316
principios,10,460,0.0002373380168035316
sería,5,460,0.0002373380168035316
encuentra,9,460,0.0002373380168035316
parís,5,460,0.0002373380168035316
cosas,5,460,0.0002373380168035316
federal,7,460,0.0002373380168035316
lado,4,460,0.0002373380168035316
fin,3,460,0.0002373380168035316
qué,3,460,0.0002373380168035316
origen,6,460,0.0002373380168035316
tomó,4,460,0.0002373380168035316
cómo,4,460,0.0002373380168035316
increíble,9,460,0.0002373380168035316
atención,8,460,0.0002373380168035316
noviembre,9,460,0.0002373380168035316
probable,8,460,0.0002373380168035316
canal,5,460,0.0002373380168035316
hayan,5,460,0.0002373380168035316
responsable,11,460,0.0002373380168035316
dejar,5,460,0.0002373380168035316
mujeres,7,460,0.0002373380168035316
derechos,8,460,0.0002373380168035316
defensa,7,460,0.0002373380168035316
mañana,6,460,0.0002373380168035316
agentes,7,460,0.0002373380168035316
fuentes,7,460,0.0002373380168035316
ley,3,460,0.0002373380168035316
lanzó,5,460,0.0002373380168035316
enviar,6,460,0.0002373380168035316
políticos,9,460,0.0002373380168035316
caribe,6,460,0.0002373380168035316
actual,6,460,0.0002373380168035316
agosto,6,460,0.0002373380168035316
estamos,7,460,0.0002373380168035316
producir,8,460,0.0002373380168035316
territorio,10,460,0.0002373380168035316
oeste,5,460,0.0002373380168035316
campaña,7,460,0.0002373380168035316
tecnología,10,460,0.0002373380168035316
político,8,460,0.0002373380168035316
familia,7,460,0.0002373380168035316
senado,6,460,0.0002373380168035316
puso,4,460,0.0002373380168035316
distritos,9,657,0.00018987041344282527
rendimiento,11,657,0.00018987041344282527
cree,4,657,0.00018987041344282527
información,11,657,0.00018987041344282527
indígenas,9,657,0.00018987041344282527
esas,4,657,0.00018987041344282527
importancia,11,657,0.00018987041344282527
economía,8,657,0.00018987041344282527
ganar,5,657,0.00018987041344282527
dar,3,657,0.00018987041344282527
servicio,8,657,0.00018987041344282527
junto,5,657,0.00018987041344282527
diciembre,9,657,0.00018987041344282527
maneras,7,657,0.00018987041344282527
reales,6,657,0.00018987041344282527
edición,7,657,0.00018987041344282527
faraón,6,657,0.00018987041344282527
he,2,657,0.00018987041344282527
asia,4,657,0.00018987041344282527
arte,4,657,0.00018987041344282527
cinco,5,657,0.00018987041344282527
empezaron,9,657,0.00018987041344282527
historias,9,657,0.00018987041344282527
siete,5,657,0.00018987041344282527
internacional,13,657,0.00018987041344282527
control,7,657,0.00018987041344282527
vivos,5,657,0.00018987041344282527
golf,4,657,0.00018987041344282527
pública,7,657,0.00018987041344282527
macedonia,9,657,0.00018987041344282527
dirigida,8,657,0.00018987041344282527
antigua,7,657,0.00018987041344282527
educación,9,657,0.00018987041344282527
obtener,7,657,0.00018987041344282527
producción,10,657,0.00018987041344282527
propósito,9,657,0.00018987041344282527
cuanto,6,657,0.00018987041344282527
partir,6,657,0.00018987041344282527
danevirke,9,657,0.00018987041344282527
américa,7,657,0.00018987041344282527
áreas,5,657,0.00018987041344282527
destrucción,11,657,0.00018987041344282527
caso,4,657,0.00018987041344282527
partidos,8,657,0.00018987041344282527
ni,2,657,0.00018987041344282527
buena,5,657,0.00018987041344282527
época,5,657,0.00018987041344282527
críticas,8,657,0.00018987041344282527
contenido,9,657,0.00018987041344282527
debemos,7,657,0.00018987041344282527
escribió,8,657,0.00018987041344282527
presión,7,657,0.00018987041344282527
máxima,6,657,0.00018987041344282527
grupos,6,657,0.00018987041344282527
