Word,Length of characters,Median duration,Frequency rank,Relative frequency
என்ற,4,0.4300000000000001,1,0.04268860602297423
என்ன,4,0.4099999999999997,2,0.026234088792300526
வந்த,4,0.4099999999999999,3,0.020956224774914625
வேண்டும,7,0.54,4,0.017385904998447686
இல்ல,4,0.4500000000000002,5,0.0166097485253027
நல்ல,4,0.4700000000000001,6,0.014126047811238746
இந்த,4,0.4050000000000001,7,0.013660353927351754
என,2,0.26,8,0.012573734864948774
அந்த,4,0.4549999999999997,9,0.012418503570319777
அங்க,4,0.4150000000000001,10,0.01055572803477181
கண்ட,4,0.3500000000000001,11,0.010090034150884818
இத,2,0.2199999999999997,12,0.009158646383110836
காதல,4,0.4499999999999997,14,0.008227258615336852
கொண்ட,5,0.39,14,0.008227258615336852
போல,3,0.3599999999999999,15,0.007606333436820863
சென்ற,5,0.5599999999999998,16,0.007451102142191866
நின்ற,5,0.55,17,0.007140639552933871
சொல்ல,5,0.3999999999999999,18,0.006985408258304874
தந்த,4,0.3999999999999999,19,0.006830176963675877
இங்க,4,0.3900000000000001,20,0.00667494566904688
எங்க,4,0.3900000000000001,21,0.006364483079788885
தலைவ,4,0.4199999999999999,22,0.005743557901272896
இருக்க,6,0.435,23,0.005588326606643899
அட,2,0.2399999999999998,24,0.005277864017385905
பெரிய,5,0.41,26,0.0051226327227569075
செய்த,5,0.48,26,0.0051226327227569075
போக,3,0.3700000000000001,27,0.0046569388388699165
இனிய,4,0.435,28,0.004346476249611922
நோக்க,5,0.3700000000000001,29,0.0041912449549829246
வாங்க,5,0.4700000000000001,32,0.0040360136603539275
கொள்ள,5,0.395,32,0.0040360136603539275
கற்க,4,0.5100000000000001,32,0.0040360136603539275
மேல,3,0.3100000000000005,35,0.00388078236572493
எண்ண,4,0.3399999999999998,35,0.00388078236572493
அமுத,4,0.4400000000000001,35,0.00388078236572493
பல,2,0.3699999999999996,37,0.0035703197764669356
பெற்ற,5,0.52,37,0.0035703197764669356
விளக்க,6,0.4600000000000001,38,0.0034150884818379386
மிக்க,5,0.4099999999999999,40,0.003259857187208941
திறந்த,6,0.4499999999999999,40,0.003259857187208941
வைத்த,5,0.495,44,0.003104625892579944
பேச,3,0.3499999999999998,44,0.003104625892579944
தமிழென்ற,8,0.675,44,0.003104625892579944
கிடந்த,6,0.5,44,0.003104625892579944
ரொம்ப,5,0.3299999999999999,50,0.0029493945979509467
செய,3,0.3399999999999998,50,0.0029493945979509467
வெள்ள,5,0.3600000000000003,50,0.0029493945979509467
வர,2,0.2000000000000001,50,0.0029493945979509467
அறிந்த,6,0.4599999999999999,50,0.0029493945979509467
கொல்ல,5,0.5300000000000002,50,0.0029493945979509467
தேட,3,0.3299999999999997,52,0.0027941633033219497
எந்த,4,0.3650000000000002,52,0.0027941633033219497
எழுந்த,6,0.5299999999999998,58,0.0026389320086929527
தக்க,4,0.3899999999999999,58,0.0026389320086929527
இருந்த,6,0.52,58,0.0026389320086929527
விட்ட,5,0.35,58,0.0026389320086929527
வான,3,0.3599999999999999,58,0.0026389320086929527
கேட்ட,5,0.4299999999999999,58,0.0026389320086929527
கார,3,0.2949999999999999,65,0.0024837007140639552
வாழ,3,0.375,65,0.0024837007140639552
அரச,3,0.39,65,0.0024837007140639552
கெட்ட,5,0.5999999999999999,65,0.0024837007140639552
இன்ப,4,0.39,65,0.0024837007140639552
