Word,Length of characters,Median duration,Frequency rank,Relative frequency
bu,2,0.1399999999999999,1,0.028824545437661348
bir,3,0.1699999999999999,2,0.0256765039095147
da,2,0.1199999999999998,3,0.011431383838196238
de,2,0.12,4,0.01053061679326932
iki,3,0.2299999999999999,5,0.010261315305610757
ancak,5,0.4399999999999999,6,0.00835763237561057
ve,2,0.1200000000000001,7,0.00754044165443976
on,2,0.2000000000000001,8,0.0069275486135616515
bin,3,0.1799999999999999,9,0.006416804412829894
yüz,3,0.1700000000000002,10,0.005943205244878629
çok,3,0.24,11,0.005859628921122523
var,3,0.29,12,0.005144587040098063
değil,5,0.3700000000000001,13,0.00507029697453708
için,4,0.27,14,0.005014579425366343
beş,3,0.2400000000000002,15,0.00494028935980536
ne,2,0.1399999999999999,16,0.004819568003268763
ise,3,0.27,17,0.004782422970488271
üç,2,0.2000000000000001,18,0.004763850454098026
kadar,5,0.3000000000000002,19,0.004643129097561429
daha,4,0.2299999999999999,20,0.0043181100607321285
fakat,5,0.41,21,0.00429025128614676
mi,2,0.1899999999999995,22,0.004058094831268688
dört,4,0.2699999999999999,23,0.0039002284419516
yirmi,5,0.2999999999999998,24,0.0038073658600003713
oldu,4,0.3800000000000003,25,0.003760934569024757
altı,4,0.3199999999999998,26,0.0036680719870735286
mı,2,0.1799999999999999,27,0.0035752094051223
yeni,4,0.24,28,0.003240904110097877
her,3,0.2299999999999999,29,0.0032316178519027545
yedi,4,0.215,30,0.0031387552699515256
en,2,0.1899999999999999,31,0.003110896495366157
yıl,3,0.1600000000000001,32,0.00305517894619542
yüzde,5,0.3000000000000007,33,0.0028323087495124716
dokuz,5,0.3399999999999998,34,0.00266515610200026
otuz,4,0.3199999999999998,35,0.0026558698438051372
olacak,6,0.5300000000000002,37,0.0025165759708782945
sekiz,5,0.3700000000000001,37,0.0025165759708782945
milyon,6,0.3399999999999998,38,0.0025072897126831714
nasıl,5,0.3199999999999994,39,0.0024980034544880487
olarak,6,0.3600000000000001,40,0.002479430938097803
büyük,5,0.27,41,0.00247014467990268
avro,4,0.3499999999999998,42,0.0024515721635124344
devam,5,0.3399999999999998,43,0.0023029920323904686
bunun,5,0.29,44,0.00214512564307338
pek,3,0.2299999999999999,45,0.0021172668684880116
elli,4,0.25,46,0.0020986943520977658
aynı,4,0.3,47,0.0020429768029270284
bunu,4,0.2199999999999999,48,0.002024404286536783
sona,4,0.2899999999999998,49,0.001996545511951414
durum,5,0.2899999999999999,51,0.0019779729955611684
diğer,5,0.3,51,0.0019779729955611684
şey,3,0.22,52,0.0019222554463904314
bekleniyor,10,0.65,55,0.0018572516390245714
yok,3,0.33,55,0.0018572516390245714
iyi,3,0.1800000000000001,55,0.0018572516390245714
yer,3,0.1800000000000001,57,0.001829392864439203
kırk,4,0.26,57,0.001829392864439203
virgül,6,0.3700000000000001,58,0.00182010660624408
yaklaşık,8,0.5499999999999998,59,0.0018015340898538343
ülke,4,0.3199999999999999,60,0.0017365302824879742
kişi,4,0.25,61,0.0017272440242928515
sonra,5,0.3400000000000002,62,0.00169009899151236
peki,4,0.2799999999999999,63,0.001680812733317237
mu,2,0.2199999999999997,64,0.0016158089259513772
sizce,5,0.43,65,0.0015693776349757628
ilk,3,0.24,66,0.00156009137678064
o,1,0.13,67,0.0015415188603903943
katıldı,7,0.5149999999999999,69,0.0015229463440001485
toplam,6,0.43,69,0.0015229463440001485
nedir,5,0.4399999999999999,70,0.00149508756941478
yine,4,0.26,71,0.0014765150530245343
sorun,5,0.3599999999999999,72,0.0014486562784391658
ülkeden,7,0.4499999999999999,73,0.001439370020244043
şu,2,0.2099999999999999,74,0.00143008376204892
hükümet,7,0.5,75,0.0014207975038537971
buna,4,0.2299999999999999,76,0.0014115112456586742
artık,5,0.3999999999999999,78,0.0013836524710733058
zaman,5,0.33,78,0.0013836524710733058
sırp,4,0.3500000000000001,80,0.0013743662128781829
fazla,5,0.3299999999999999,80,0.0013743662128781829
ay,2,0.1499999999999999,82,0.00136507995468306
bazı,4,0.3399999999999999,82,0.00136507995468306
son,3,0.2800000000000002,83,0.0013465074382928142
geri,4,0.2200000000000002,84,0.0013372211800976915
ediyor,6,0.4199999999999999,86,0.0013093624055123228
kosova,6,0.47,86,0.0013093624055123228
sadece,6,0.49,88,0.001290789889122077
yetmiş,6,0.3799999999999999,88,0.001290789889122077
