Word,Length of characters,Frequency rank,Relative frequency
的,1,1,0.07512824755915935
在,1,2,0.022891499806939157
了,1,3,0.02096089138948646
一,1,4,0.013734899884163494
是,1,5,0.011859451707209444
和,1,6,0.01086656737823377
年,1,7,0.010370125213745932
個,1,8,0.009763362568260797
他,1,9,0.009487561365767555
這,1,10,0.008384356555794583
為,1,11,0.007005350543328369
於,1,12,0.006895030062331072
中,1,13,0.006619228859837829
有,1,14,0.0064537481383418836
被,1,15,0.005626344530862155
人,1,16,0.005185062606872966
他們,2,17,0.004688620442385129
月,1,18,0.003916377075404049
上,1,19,0.0038612168349054002
來,1,20,0.003750896353908103
並,1,22,0.0036957361134094544
會,1,22,0.0036957361134094544
她,1,23,0.0036405758729108058
對,1,24,0.003585415632412157
也,1,25,0.003364774670417563
我,1,26,0.003254454189420266
但,1,27,0.0031992939489216173
說,1,28,0.002978652986927023
不,1,29,0.0029234927464283746
就,1,30,0.002868332505929726
與,1,32,0.0027580120249324287
兩,1,32,0.0027580120249324287
而,1,33,0.00270285178443378
從,1,34,0.002592531303436483
次,1,35,0.0025373710629378343
但是,2,36,0.0024270505819405375
其,1,38,0.002371890341441889
還,1,38,0.002371890341441889
我們,2,41,0.0023167301009432402
時,1,41,0.0023167301009432402
它,1,41,0.0023167301009432402
都,1,43,0.0022615698604445916
後,1,43,0.0022615698604445916
著,1,44,0.002206409619945943
將,1,47,0.0021512493794472944
該,1,47,0.0021512493794472944
能,1,47,0.0021512493794472944
位,1,48,0.0019857686579513485
已經,2,49,0.0019306084174527001
到,1,51,0.0018754481769540515
以及,2,51,0.0018754481769540515
公司,2,53,0.0018202879364554029
可能,2,53,0.0018202879364554029
這些,2,54,0.0017651276959567543
世紀,2,58,0.0017099674554581059
地區,2,58,0.0017099674554581059
可以,2,58,0.0017099674554581059
工作,2,58,0.0017099674554581059
美國,2,59,0.0016548072149594572
所,1,63,0.0015996469744608086
此,1,63,0.0015996469744608086
那,1,63,0.0015996469744608086
沒有,2,63,0.0015996469744608086
把,1,66,0.00154448673396216
開始,2,66,0.00154448673396216
因為,2,66,0.00154448673396216
下,1,71,0.0014893264934635116
自,1,71,0.0014893264934635116
政府,2,71,0.0014893264934635116
自己,2,71,0.0014893264934635116
之,1,71,0.0014893264934635116
前,1,73,0.001434166252964863
之後,2,73,0.001434166252964863
讓,1,79,0.0013790060124662144
電影,2,79,0.0013790060124662144
英國,2,79,0.0013790060124662144
日,1,79,0.0013790060124662144
多,1,79,0.0013790060124662144
很多,2,79,0.0013790060124662144
認為,2,83,0.0013238457719675658
以,1,83,0.0013238457719675658
種,1,83,0.0013238457719675658
地,1,83,0.0013238457719675658
其他,2,89,0.0012686855314689171
向,1,89,0.0012686855314689171
之間,2,89,0.0012686855314689171
用,1,89,0.0012686855314689171
國家,2,89,0.0012686855314689171
最,1,89,0.0012686855314689171
第一,2,91,0.0012135252909702687
名,1,91,0.0012135252909702687
世界,2,96,0.0011583650504716201
當,1,96,0.0011583650504716201
由,1,96,0.0011583650504716201
影響,2,96,0.0011583650504716201
發生,2,96,0.0011583650504716201
至,1,105,0.0011032048099729715
獲得,2,105,0.0011032048099729715
要,1,105,0.0011032048099729715
成,1,105,0.0011032048099729715
很,1,105,0.0011032048099729715
作,1,105,0.0011032048099729715
系統,2,105,0.0011032048099729715
過,1,105,0.0011032048099729715
內,1,105,0.0011032048099729715
包括,2,109,0.0010480445694743229
一直,2,109,0.0010480445694743229
因,1,109,0.0010480445694743229
元,1,109,0.0010480445694743229
如果,2,117,0.0009928843289756743
進行,2,117,0.0009928843289756743
已,1,117,0.0009928843289756743
成功,2,117,0.0009928843289756743
最後,2,117,0.0009928843289756743
方面,2,117,0.0009928843289756743
其中,2,117,0.0009928843289756743
同時,2,117,0.0009928843289756743
年代,2,128,0.0009377240884770258
建立,2,128,0.0009377240884770258
及,1,128,0.0009377240884770258
決定,2,128,0.0009377240884770258
正,1,128,0.0009377240884770258
中國,2,128,0.0009377240884770258
歷史,2,128,0.0009377240884770258
可,1,128,0.0009377240884770258
使,1,128,0.0009377240884770258
接受,2,128,0.0009377240884770258
通過,2,128,0.0009377240884770258
三,1,139,0.0008825638479783771
許多,2,139,0.0008825638479783771
令,1,139,0.0008825638479783771
所有,2,139,0.0008825638479783771
總統,2,139,0.0008825638479783771
需要,2,139,0.0008825638479783771
公元,2,139,0.0008825638479783771
主要,2,139,0.0008825638479783771
戰爭,2,139,0.0008825638479783771
更,1,139,0.0008825638479783771
能夠,2,139,0.0008825638479783771
區域,2,149,0.0008274036074797286
城市,2,149,0.0008274036074797286
或,1,149,0.0008274036074797286
現在,2,149,0.0008274036074797286
表示,2,149,0.0008274036074797286
導致,2,149,0.0008274036074797286
