Word,Length of characters,Frequency rank,Relative frequency
阿契美尼德波斯,65,4,0.0006451018339323565
塞斯托聖喬瓦尼,65,4,0.0006451018339323565
布宜諾斯艾利斯,64,4,0.0006451018339323565
符拉迪沃斯托克,59,4,0.0006451018339323565
加利福尼亞州,44,16,0.000552944429084877
布蘭斯菲爾德,77,16,0.000552944429084877
沙特阿拉伯國,50,16,0.000552944429084877
克里斯蒂安鬆,62,16,0.000552944429084877
羅斯季斯拉夫,63,16,0.000552944429084877
北卡羅萊納州,56,16,0.000552944429084877
大摩拉維亞國,59,16,0.000552944429084877
捷克斯洛伐克,52,16,0.000552944429084877
美拉尼西亞人,38,16,0.000552944429084877
北卡羅來納州,53,16,0.000552944429084877
氫氟碳化合物,52,16,0.000552944429084877
乞力馬扎羅山,41,16,0.000552944429084877
阿巴庫莫夫,35,69,0.00046078702423739745
布雷斯特德,55,69,0.00046078702423739745
蘇格蘭人報,63,69,0.00046078702423739745
芳特維耶區,50,69,0.00046078702423739745
丹內維爾克,43,69,0.00046078702423739745
聖塞西莉亞,50,69,0.00046078702423739745
聖赫勒拿島,58,69,0.00046078702423739745
卡拉布里亞,33,69,0.00046078702423739745
惠勒斯蒂芬,54,69,0.00046078702423739745
巴西利卡塔,34,69,0.00046078702423739745
斯瑪拉迪斯,54,69,0.00046078702423739745
霍爾斯道姆,62,69,0.00046078702423739745
阿爾瓦雷茨,47,69,0.00046078702423739745
奈斯托斯河,46,69,0.00046078702423739745
北卡羅來納,47,69,0.00046078702423739745
亞歷杭德羅,66,69,0.00046078702423739745
奧斯特利茨,51,69,0.00046078702423739745
培奧尼亞人,39,69,0.00046078702423739745
阿伯茨福德,51,69,0.00046078702423739745
克里斯托弗,37,69,0.00046078702423739745
德克薩斯州,56,69,0.00046078702423739745
博斯普魯斯,63,69,0.00046078702423739745
葉卡捷琳娜,49,69,0.00046078702423739745
澳大利亞人,35,69,0.00046078702423739745
七百五十萬,26,69,0.00046078702423739745
美伽巴佐斯,39,69,0.00046078702423739745
科斯佩達爾,55,69,0.00046078702423739745
哈默史密斯,53,69,0.00046078702423739745
別林斯高晉,47,69,0.00046078702423739745
貝爾格萊德,57,69,0.00046078702423739745
阿爾巴尼亞,38,69,0.00046078702423739745
克里斯蒂安,44,69,0.00046078702423739745
哈利法克斯,43,69,0.00046078702423739745
伯羅奔尼撒,54,69,0.00046078702423739745
阿伯茲福德,51,69,0.00046078702423739745
米爾德里德,57,69,0.00046078702423739745
波托馬克河,39,69,0.00046078702423739745
澳大利亞隊,44,69,0.00046078702423739745
迪希邦登堡,45,69,0.00046078702423739745
小威廉姆斯,45,69,0.00046078702423739745
巴達爾普爾,56,69,0.00046078702423739745
阿爾及利亞,39,69,0.00046078702423739745
邁科內爾里,49,69,0.00046078702423739745
